rltv_hum_isobaric 1000|0,100|#0000FF,#0077FF,#FFFF00,#FFAA00,#FF0000,#AA0000
rltv_hum_isobaric 925|0,100|#0000FF,#0077FF,#FFFF00,#FFAA00,#FF0000,#AA0000
rltv_hum_isobaric 850|0,100|#0000FF,#0077FF,#FFFF00,#FFAA00,#FF0000,#AA0000
rltv_hum_isobaric 700|0,100|#0000FF,#0077FF,#FFFF00,#FFAA00,#FF0000,#AA0000
rltv_hum_isobaric 500|0,100|#0000FF,#0077FF,#FFFF00,#FFAA00,#FF0000,#AA0000
rltv_hum_isobaric 300|0,100|#0000FF,#0077FF,#FFFF00,#FFAA00,#FF0000,#AA0000
rltv_hum_isobaric 200|0,100|#0000FF,#0077FF,#FFFF00,#FFAA00,#FF0000,#AA0000
rltv_hum_isobaric 150|0,100|#0000FF,#0077FF,#FFFF00,#FFAA00,#FF0000,#AA0000
wnd_vert_vel_isobaric 1000|-2,2|#0000FF,#0077FF,#FFFF00,#FFAA00,#FF0000,#AA0000
wnd_vert_vel_isobaric 925|-2.5,2.5|#0000FF,#0077FF,#FFFF00,#FFAA00,#FF0000,#AA0000
wnd_vert_vel_isobaric 850|-3,3.5|#0000FF,#0077FF,#FFFF00,#FFAA00,#FF0000,#AA0000
